date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,
2019/7/1,50.38,51.98,50.78,50.04,119745.56,0.85,1.7,49.27,48.401,47.526,85718.14,90547.92,87614.92,1.72,271
2019/7/2,51.02,51.32,50.45,50,74806.94,-0.33,-0.65,49.804,48.845,47.683,89219.56,89781.08,87180.88,1.07,270
2019/7/3,50.4,51,49.34,48.5,129343.76,-1.11,-2.2,50.11,49.06,47.855,107276.06,93547.85,89520.15,1.86,269
2019/7/4,49.19,49.44,47.89,47.6,97478,-1.45,-2.94,49.678,48.984,47.992,98839.19,93819.98,89510.91,1.4,268
2019/7/5,48.05,48.46,48.31,47.6,63776,0.42,0.88,49.354,49.045,48.153,97030.05,87771.01,87921,0.92,267
2019/7/8,48.29,48.52,47.58,47.03,58758.08,-0.73,-1.51,48.714,48.992,48.217,84832.56,85275.35,86642.7,0.84,266
2019/7/9,47.84,48.1,47.83,47,50964.51,0.25,0.53,48.19,48.997,48.168,80064.07,84641.82,84009.76,0.73,265
2019/7/10,47.72,48.07,47.54,47.4,29647.98,-0.29,-0.61,47.83,48.97,48.154,60124.91,83700.49,81734.82,0.43,264
2019/7/11,47.87,47.96,46.76,46.23,75169.82,-0.78,-1.64,47.604,48.641,48.121,55663.28,77251.24,82909.36,1.08,263
2019/7/12,46.9,47.07,46.94,46.3,54678.32,0.18,0.39,47.33,48.342,48.108,53843.74,75436.9,81907.67,0.79,262
2019/7/15,46.94,47.2,46.99,45.79,55690.35,0.05,0.11,47.212,47.963,48.182,53230.2,69031.38,79789.65,0.8,261
2019/7/16,46.89,47.05,46.24,46,50428.83,-0.75,-1.6,46.894,47.542,48.194,53123.06,66593.57,78187.32,0.72,260
2019/7/17,46.24,47.13,47.06,45.9,61378.43,0.82,1.77,46.798,47.314,48.187,59469.15,59797.03,76672.44,0.88,259
2019/7/18,46.98,47.65,47.24,46.54,49940.65,0.18,0.38,46.894,47.249,48.117,54423.32,55043.3,74431.64,0.72,258
2019/7/19,47.3,47.58,47.1,46.9,34489.33,-0.14,-0.3,46.926,47.128,48.087,50385.52,52114.63,69942.82,0.5,257
2019/7/22,47,47,46.58,45.9,35802.35,-0.52,-1.1,46.844,47.028,48.01,46407.92,49819.06,67547.2,0.51,256
2019/7/23,46.5,47.56,47.51,46.34,53348.99,0.93,2,47.098,46.996,47.997,46991.95,50057.51,67349.66,0.77,255
2019/7/24,47.59,48.03,47.25,47.11,49531.4,-0.26,-0.55,47.136,46.967,47.969,44622.54,52045.85,67873.17,0.71,254
2019/7/25,47.08,47.25,46.61,46.25,62228.41,-0.64,-1.35,47.01,46.952,47.797,47080.1,50751.71,64001.47,0.89,253
2019/7/26,46.58,46.6,46.1,45.92,64696.52,-0.51,-1.09,46.81,46.868,47.605,53121.53,51753.53,63595.21,0.93,252
2019/7/29,46.37,46.48,46.4,46.09,64148.91,0.3,0.65,46.774,46.809,47.386,58790.85,52599.38,60815.38,0.92,251
2019/7/30,46.54,46.58,46.11,45.92,56825.43,-0.29,-0.62,46.494,46.796,47.169,59486.13,53239.04,59916.3,0.82,250
2019/7/31,46.05,46.3,45.31,45.2,66870.83,-0.8,-1.74,46.106,46.621,46.968,62954.02,53788.28,56792.66,0.96,249
2019/8/1,45.45,45.45,44.51,44.01,78003.2,-0.8,-1.77,45.686,46.348,46.799,66108.98,56594.54,55818.92,1.12,248
2019/8/2,43.4,43.77,43.53,43.25,52804.31,-0.98,-2.2,45.172,45.991,46.56,63730.54,58426.04,55270.33,0.76,247
2019/8/5,43,43.1,42.4,42.09,45856.1,-0.65,-1.51,44.372,45.573,46.301,60071.97,59431.41,54625.23,0.66,246
2019/8/6,41.9,42.29,42.09,40.54,86481.72,-0.31,-0.73,43.568,45.031,46.014,66003.23,62744.68,56401.09,1.24,245
2019/8/7,42.12,42.97,42.24,42.09,37769.65,0.15,0.36,42.954,44.53,45.749,60183,61568.51,56807.18,0.54,244
2019/8/8,42.42,44.42,44.26,42.4,88951.33,2.02,4.78,42.904,44.295,45.624,62372.62,64240.8,57496.25,1.28,243
2019/8/9,44.45,45,44.61,43.8,62681.91,0.35,0.79,43.12,44.146,45.507,64348.14,64039.34,57896.43,0.9,242
2019/8/12,44.5,45.8,45.7,44.5,69068.14,1.09,2.44,43.78,44.076,45.443,68990.55,64531.26,58565.32,0.99,241
2019/8/13,45.32,46.17,46.1,45.1,60440.13,0.4,0.88,44.582,44.075,45.436,63782.23,64892.73,59065.89,0.87,240
2019/8/14,46.6,46.63,46.26,46.11,49357.41,0.16,0.35,45.386,44.17,45.396,66099.78,63141.39,58464.84,0.71,239
2019/8/15,45.74,46.5,46.05,45.21,62361.38,-0.21,-0.45,45.744,44.324,45.336,60781.79,61577.21,59085.87,0.9,238
2019/8/16,48.52,50.66,50.66,48.35,194818.56,4.61,10.01,46.954,45.037,45.514,87209.12,75778.63,67102.33,2.8,237
2019/8/19,51,52.71,51.65,51,210917.78,0.99,1.95,48.144,45.962,45.768,115579.05,92284.8,75858.11,3.03,236
2019/8/20,51.1,52.38,51.7,51.1,96454.38,0.05,0.1,49.264,46.923,45.977,122781.9,93282.07,78013.38,1.39,235
2019/8/21,51.82,52.38,51.58,51.2,56253.08,-0.12,-0.23,50.328,47.857,46.194,124161.04,95130.41,78349.46,0.81,234
2019/8/22,51.82,53.63,52.58,51.82,106783.82,1,1.94,51.634,48.689,46.492,133045.52,96913.66,80577.23,1.53,233
2019/8/23,52.6,52.9,52.7,52.2,49808.2,0.12,0.23,52.042,49.498,46.822,104043.45,95626.29,79832.81,0.72,232
2019/8/26,52.1,52.5,52.1,51.02,59531.93,-0.6,-1.14,52.132,50.138,47.107,73766.28,94672.67,79601.96,0.86,231
2019/8/27,52.39,52.88,52.08,51.8,57469.55,-0.02,-0.04,52.208,50.736,47.406,65969.32,94375.61,79634.17,0.83,230
2019/8/28,52.11,52.85,52.2,51.55,47581.32,0.12,0.23,52.332,51.33,47.75,64234.96,94198,78669.7,0.68,229
2019/8/29,52.42,54.54,54.3,51.91,103378.32,2.1,4.02,52.676,52.155,48.24,63553.86,98299.69,79938.45,1.49,228
2019/8/30,54.3,54.31,52.82,52.55,86469.39,-1.48,-2.73,52.7,52.371,48.704,70886.1,87464.78,81621.71,1.24,227
2019/9/2,52.79,53.5,52.88,52.1,58426.73,0.06,0.11,52.856,52.494,49.228,70665.06,72215.67,82250.24,0.84,226
2019/9/3,52.86,53.2,52.21,51.8,55642.45,-0.67,-1.27,52.882,52.545,49.734,70299.64,68134.48,80708.27,0.8,225
2019/9/4,52.1,52.7,52,51.18,75260.04,-0.21,-0.4,52.842,52.587,50.222,75835.39,70035.18,82582.79,1.08,224
2019/9/5,52.3,52.45,51.11,51,85273.47,-0.89,-1.71,52.204,52.44,50.565,72214.42,67884.14,82398.9,1.23,223
2019/9/6,51.26,51.45,50.71,50.3,71979.88,-0.4,-0.78,51.782,52.241,50.87,69316.51,70101.31,82863.8,1.03,222
2019/9/9,50.99,51.3,50.01,49.66,104179.36,-0.7,-1.38,51.208,52.032,51.085,78467.04,74566.05,84619.36,1.5,221
2019/9/10,50.4,50.49,49.97,49.72,89699.09,-0.04,-0.08,50.76,51.821,51.279,85278.37,77789.01,86082.31,1.29,220
2019/9/11,49.9,49.97,49.46,48.3,93918.5,-0.51,-1.02,50.252,51.547,51.439,89010.06,82422.72,88310.36,1.35,219
2019/9/12,49.47,50.08,49.7,49.02,73470.56,0.24,0.48,49.97,51.087,51.621,86649.48,79431.95,88865.82,1.06,218
2019/9/16,49.66,50.77,50.39,49.31,105626.53,0.69,1.39,49.906,50.844,51.608,93378.81,81347.66,84406.22,1.52,217
2019/9/17,50.3,50.3,48.97,48.85,78259.05,-1.42,-2.82,49.698,50.453,51.474,88194.75,83330.89,77773.28,1.12,216
2019/9/18,49,51.2,50.38,49,99506.22,1.41,2.88,49.78,50.27,51.408,90156.17,87717.27,77925.87,1.43,215
2019/9/19,50.5,50.64,49.79,49.33,53597.17,-0.59,-1.17,49.846,50.049,51.318,82091.91,85550.98,77793.08,0.77,214
2019/9/20,49.9,50.5,50.04,49.5,64518.64,0.25,0.5,49.914,49.942,51.191,80301.52,83475.5,75679.82,0.93,213
2019/9/23,50.04,50.18,49.58,48.88,45877.18,-0.46,-0.92,49.752,49.829,51.035,68351.65,80865.23,75483.27,0.66,212
2019/9/24,49.88,49.97,49.1,48.9,53036.13,-0.48,-0.97,49.778,49.738,50.885,63307.07,75750.91,75158.48,0.76,211
2019/9/25,49.45,49.49,49.13,48.75,47788.06,0.03,0.06,49.528,49.654,50.738,52963.44,71559.8,74674.4,0.69,210
2019/9/26,49.44,50.33,48.86,48.36,54685.77,-0.27,-0.55,49.342,49.594,50.571,53181.16,67636.53,75029.63,0.79,209
2019/9/27,49.03,49.23,48.75,47,45843.13,-0.11,-0.23,49.084,49.499,50.293,49446.05,64873.79,72152.87,0.66,208
